id	ConceptA	ConceptB_Pre	Prerequisite	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil
32	Martingale_(probability_theory)	Markov_chain	1	13.3	569.0	-287.44	2705.0	108.0	14.7	0.028158975	13.5	2305.0	-443.78	12250.0	424.0	17.3	0.009675691	0.011	0.008	0.195913347	0.570162763	0.005516719	2.263e-06	6.147e-06	1e-08	0.001560062	0.004237288	-17.2595	117	119	397	244	8	1	0.06838	0.36848	9.65417	0.0	0.46693	0.66667	0.25
33	Arithmetic_logic_unit	Digital_electronics	1	15.1	410.0	40.28	2426.0	102.0	14.9	0.020549712	14.1	740.0	44.03	5272.0	276.0	14.0	0.0105156	0.005	0.056	0.213331137	0.416894262	0.004383893	3.778e-06	6.502e-06	1.9e-08	0.002949853	0.005076142	-21.5992	274	120	442	236	7	2	0.05109	0.35425	9.07895	0.0	0.4256	0.66667	0.25
34	Data_mining	Artificial_intelligence	1	15.0	713.0	32.83	3889.0	177.0	16.7	0.043989893	14.9	2036.0	41.8	13263.0	619.0	15.7	0.007598746	0.002	0.144	0.135488809	0.78435815	0.005960138	1.1268e-05	4.8121e-05	1.9e-08	0.000398565	0.001702128	-98.0428	887	288	4442	576	20	2	0.09583	0.4616	6.65714	1.0	0.30238	1.0	0.0
35	Divide_and_conquer_algorithms	Algorithm_design	1	16.8	270.0	18.49	2191.0	76.0	18.2	0.070704418	16.7	64.0	32.43	261.0	10.0	17.7	0.02433551	0.012	0.006	0.34270863	0.995706051	0.024231014	2.465e-06	6.23e-07	1.9e-08	0.030769231	0.007782101	8.05589	130	127	19	46	8	2	0.00769	0.3921	10.88724	2.0	0.55556	1.0	0.2
36	Unix	Computer	1	14.8	813.0	39.16	4274.0	178.0	16.4	0.000317502	15.0	1086.0	41.7	8043.0	367.0	15.0	0.012738401	0.002	0.008	0.761362789	0.018976832	0.000241734	3.7544e-05	6.193e-05	1e-08	0.000154847	0.000255428	-110.449	3516	399	5688	770	42	1	0.05546	0.46892	5.51144	0.0	0.16818	0.4	0.0
37	Robotics	Robot	1	13.7	1075.0	43.32	7661.0	393.0	14.2	0.000574686	14.1	1342.0	41.6	8843.0	408.0	14.8	0.000733583	1.0	0.166	0.514051924	0.402706075	0.000295418	1.8767e-05	2.6468e-05	2.9e-08	0.001086957	0.001532959	-20.4483	1599	358	2297	463	61	3	0.10569	0.32695	7.74992	1.0	0.8	1.0	0.6
38	Computer_security	Mathematics	1	16.0	1601.0	31.51	9710.0	416.0	17.2	0.016760789	16.2	727.0	24.48	5136.0	239.0	16.8	0.005189031	0.0	0.046	0.130618904	0.421904603	0.002189276	1.9755e-05	0.000198152	0.0	0.0	0.0	-876.3915	1609	451	20104	559	8	0	0.01429	0.84929	1.73395	0.0	0.08759	0.5	0.0
39	Cache_coherence	Shared_memory	1	14.4	213.0	50.67	1600.0	80.0	13.0	0.002794149	15.5	177.0	41.5	1066.0	48.0	15.4	0.012522593	0.075	0.096	0.477337866	0.106507731	0.001333753	1.947e-06	2.982e-06	1.9e-08	0.006430868	0.009852217	-7.13724	130	73	212	99	8	2	0.07692	0.29111	10.72917	2.0	0.63316	1.0	0.33333
40	Parsing	Finite-state_machine	1	13.4	424.0	50.26	3129.0	146.0	14.0	0.000368219	11.9	845.0	6.1	3772.0	265.0	12.7	0.035194302	0.002	0.008	0.822623155	0.008606672	0.000302906	6.588e-06	6.713e-06	1e-08	0.001428571	0.001455604	2.2687	514	173	520	180	10	1	0.05447	0.32049	8.93689	0.0	0.0	0.0	0.0
41	Malware	Authentication	1	14.7	485.0	39.77	3766.0	162.0	16.1	5.4149e-05	16.4	468.0	30.5	3762.0	152.0	17.5	0.000376504	0.003	0.034	0.318519598	0.045809845	1.7248e-05	1.1364e-05	7.998e-06	1e-08	0.001199041	0.000843882	8.8588	971	214	631	203	4	1	0.02575	0.41066	7.57656	0.0	0.4	0.5	0.0
42	Firewall_(computing)	Information_assurance	1	14.5	347.0	40.69	2030.0	89.0	16.1	0.007269006	18.0	120.0	23.16	770.0	33.0	18.4	0.036226009	0.005	0.004	0.778872256	0.15628625	0.005661627	8.938e-06	1.947e-06	1e-08	0.004926108	0.001072961	35.8884	730	202	120	83	2	1	0.01096	0.42698	8.73889	0.0	0.23887	0.66667	0.0
43	Relational_model	Database	1	13.8	774.0	-55.73	5133.0	198.0	16.0	0.03582746	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008645184	0.015	0.062	0.174501641	0.72317153	0.006251951	3.318e-06	4.0919e-05	1.9e-08	0.000468713	0.005780347	-166.6901	191	155	3843	424	24	2	0.40838	0.38564	8.95749	0.0	0.34921	0.55556	0.0
44	Compiler	Computer_architecture	1	15.1	993.0	35.27	5714.0	292.0	15.1	0.000402273	14.9	453.0	35.78	2621.0	140.0	14.9	0.01540178	0.008	0.02	0.824968128	0.021547003	0.000331862	1.9199e-05	6.262e-06	1e-08	0.001531394	0.0004995	64.9651	1710	292	488	165	16	1	0.04678	0.33401	8.80894	0.0	0.33117	0.55556	0.11111
45	Atomicity_(database_systems)	Database	1	15.9	65.0	26.91	476.0	25.0	16.8	0.028132259	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008645184	0.404	0.026	0.30730499	1.0	0.008645184	1.208e-06	4.0919e-05	1.9e-08	0.000468713	0.015873016	-175.1821	72	54	3843	424	13	2	0.30556	0.4659	8.53902	0.0	0.63492	0.71429	0.42857
46	Bioinformatics	Computer_programming	1	17.2	869.0	22.34	5260.0	224.0	19.0	0.001514782	15.8	357.0	33.65	2294.0	104.0	16.5	0.014153626	0.0	0.014	0.358060702	0.038321188	0.000542384	1.9333e-05	1.6082e-05	0.0	0.0	0.0	-18.0474	1665	351	1410	267	7	0	0.0042	0.67492	3.8021	0.0	0.21614	0.55556	0.0
47	Machine_learning	Markov_chain	1	15.9	581.0	31.21	3811.0	160.0	17.7	0.013566427	13.5	2305.0	-443.78	12250.0	424.0	17.3	0.009675691	0.001	0.022	0.201305541	0.282253409	0.002730997	1.5161e-05	6.147e-06	0.0	0.0	0.0	35.9108	1294	287	397	244	8	0	0.01314	0.46213	7.27438	0.0	0.34656	0.6	0.2
48	Algebra	Mathematics	1	15.2	618.0	26.0	4185.0	209.0	13.7	0.002756758	16.2	727.0	24.48	5136.0	239.0	16.8	0.005189031	0.004	0.046	0.429684772	0.228277099	0.001184537	1.847e-05	0.000198152	1.9e-08	9.6791e-05	0.001038422	-867.4765	1605	321	20104	559	56	2	0.28972	0.47215	6.07507	0.0	0.225	0.5	0.0
49	B-tree	Data_structure	1	11.6	809.0	42.21	5963.0	275.0	11.6	0.041713953	14.2	197.0	41.7	1091.0	49.0	15.6	0.051526592	0.003	0.074	0.787617566	0.637624985	0.032854642	2.81e-06	7.269e-06	1e-08	0.001319261	0.003412969	-56.68591	161	132	599	159	9	1	0.10559	0.3466	9.68767	0.0	0.46032	0.71429	0.11111
50	PageRank	Expected_value	1	13.3	1180.0	-273.26	6285.0	232.0	16.4	4.9186e-05	13.2	2167.0	-655.79	8462.0	293.0	21.1	0.039231595	0.0	0.002	0.768046198	0.000962934	3.7777e-05	4.574e-06	8.938e-06	1e-08	0.001072961	0.002096436	-59.7138	282	195	773	159	3	1	0.00355	0.68443	4.42366	0.0	0.14099	0.45455	0.0
51	Computer_network	Computer_science	1	14.2	1314.0	43.63	7742.0	383.0	15.0	0.020509536	17.5	668.0	22.85	4178.0	178.0	18.8	0.032144398	0.009	0.38	0.824443233	0.526030932	0.016908948	2.852e-05	8.648e-05	1e-08	0.000110889	0.000336247	-161.101	2537	437	8602	416	15	1	0.07529	0.50633	5.3556	0.0	0.40311	0.6	0.11111
52	Concurrency_(computer_science)	Operating_system	1	16.6	222.0	25.59	1103.0	65.0	18.9	0.032160391	14.7	1271.0	40.58	8814.0	374.0	15.2	0.03838105	0.002	0.002	0.700068252	0.586603776	0.022514469	2.954e-06	5.283e-05	1e-08	0.000181521	0.003246753	-310.9618	209	99	5021	488	2	1	0.16268	0.4987	7.24388	0.0	0.55556	0.55556	0.55556
53	Algorithm	Iterative_method	1	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008157793	14.6	254.0	-215.56	1264.0	49.0	18.3	0.03055549	0.01	0.19	0.790009652	0.210919068	0.006444735	3.7994e-05	2.637e-06	1e-08	0.003636364	0.000252398	188.3607	3540	422	210	65	4	1	0.01384	0.42752	8.26846	0.0	0.28945	0.5	0.14286
54	Multi-core_processor	Thread_(computing)	1	15.4	797.0	35.17	4304.0	218.0	16.2	0.013601664	15.1	552.0	39.77	3836.0	162.0	16.9	0.007908137	0.112	0.01	0.2211465	0.380362687	0.00300796	1.0539e-05	8.631e-06	1.9e-08	0.002222222	0.001819836	-6.1049	801	298	682	218	32	2	0.10112	0.2594	9.4381	0.0	0.37024	0.66667	0.0
55	Software_engineering	Computer_programming	1	16.5	496.0	25.08	2767.0	132.0	18.2	0.019980439	15.8	357.0	33.65	2294.0	104.0	16.5	0.014153626	0.007	0.166	0.40543436	0.572344949	0.008100756	1.3924e-05	1.6082e-05	1.9e-08	0.001192606	0.00137741	-22.1271	1260	192	1410	267	22	2	0.05873	0.35857	7.6063	0.0	0.44286	0.6	0.14286
56	Large_deviations_theory	Probability_theory	1	12.9	463.0	-294.88	1961.0	92.0	16.6	0.04380357	13.8	589.0	-229.03	3113.0	152.0	17.3	0.02815054	0.019	0.228	0.616274852	0.958952775	0.026995039	1.266e-06	1.3301e-05	1e-08	0.000720981	0.007575758	-84.64997	50	82	1201	186	13	1	0.22	0.41	9.74309	0.0	0.45397	0.6	0.33333
57	Control_flow	Computer	1	13.7	737.0	40.69	5097.0	208.0	15.3	0.035260349	15.0	1086.0	41.7	8043.0	367.0	15.0	0.012738401	0.0	0.058	0.238399143	0.659897367	0.008406037	5.687e-06	6.193e-05	1e-08	0.000154847	0.001686341	-251.9485	392	201	5688	770	35	1	0.06378	0.57815	5.71297	0.0	0.28571	0.71429	0.0
58	Monte_Carlo_method	Algorithm	1	14.1	1201.0	36.69	6522.0	425.0	14.5	0.031920259	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008157817	0.005	0.034	0.202728165	0.793243522	0.006471135	9.494e-06	3.7994e-05	1e-08	0.000252398	0.001010101	-166.6247	697	293	3540	422	14	1	0.06887	0.48807	6.50795	0.0	0.27486	0.6	0.0
59	Human–computer_interaction	Interactivity	1	14.8	781.0	37.6	4607.0	281.0	15.0	0.025676237	15.4	193.0	27.32	1096.0	60.0	15.8	0.000266304	0.0	0.01	0.009259843	0.892806352	0.000237758	9.436e-06	5.888e-06	1e-08	0.001628664	0.00101626	18.4259	808	176	521	93	11	1	0.01733	0.44553	7.28154	2.0	0.1375	1.0	0.0
60	Programming_paradigm	Computer_science	1	16.1	217.0	32.73	1772.0	81.0	16.9	0.007155981	17.5	668.0	22.85	4178.0	178.0	18.8	0.032144446	0.0	0.148	0.767324244	0.170821364	0.005490958	6.08e-06	8.648e-05	0.0	0.0	0.0	-309.9979	449	185	8602	416	15	0	0.07127	0.60467	5.2765	0.0	0.41468	0.66667	0.33333
61	Computer_programming	Computer_science	1	15.8	357.0	33.65	2294.0	104.0	16.5	0.01415365	17.5	668.0	22.85	4178.0	178.0	18.8	0.032144454	0.039	0.346	0.946208387	0.416628703	0.013392302	1.6082e-05	8.648e-05	1.9e-08	0.000221779	0.001192606	-245.7649	1410	267	8602	416	28	2	0.10567	0.50028	5.84476	0.0	0.44286	0.6	0.14286
62	Computer_graphics	Computer_science	1	15.0	1178.0	40.08	7547.0	332.0	15.9	0.013216307	17.5	668.0	22.85	4178.0	178.0	18.8	0.032144454	0.013	0.534	0.983257376	0.404269791	0.012995032	1.7472e-05	8.648e-05	1.9e-08	0.000221779	0.001097695	-255.9747	1382	440	8602	416	29	2	0.08466	0.52879	5.5249	0.0	0.5	0.5	0.5
63	Computational_geometry	Computer_science	1	16.9	265.0	30.09	1602.0	63.0	18.5	0.011235415	17.5	668.0	22.85	4178.0	178.0	18.8	0.032144454	0.015	0.086	0.694885474	0.242882537	0.007807326	4.363e-06	8.648e-05	1.9e-08	0.000221779	0.004395604	-316.4276	309	146	8602	416	16	2	0.20388	0.51081	6.79289	0.0	0.3197	0.4	0.27273
64	Geometric_modeling	Algorithm	1	14.0	145.0	24.54	515.0	59.0	16.5	0.01177076	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008157825	0.0	0.092	0.30118832	0.434578535	0.003545216	1.18e-06	3.7994e-05	1e-08	0.000252398	0.008130081	-199.12588	57	66	3540	422	4	1	0.08772	0.57996	6.85704	0.0	0.38006	0.6	0.25
65	Computer_vision	Geometry	1	14.7	880.0	35.68	5049.0	294.0	15.2	0.016475778	16.4	708.0	32.22	4155.0	188.0	16.7	0.005721576	0.002	0.04	0.122912356	0.353936892	0.002025077	8.87e-06	3.6882e-05	1e-08	0.00026001	0.001081081	-174.1872	764	161	3447	399	3	1	0.0288	0.57962	5.28841	0.0	0.16857	0.5	0.0
66	Geometry	Matrix_(mathematics)	1	16.4	708.0	32.22	4155.0	188.0	16.7	0.005721583	14.9	2068.0	-163.08	10764.0	400.0	16.6	0.015735607	0.001	0.0	0.511915186	0.186136159	0.002928965	3.6882e-05	1.7309e-05	1e-08	0.000554017	0.00026001	98.621	3447	399	1331	474	17	1	0.02321	0.46091	6.35004	0.0	0.14286	0.14286	0.14286
67	Visualization_(computer_graphics)	Computer_graphics	1	15.3	320.0	20.99	1494.0	97.0	17.0	0.014534106	15.0	1178.0	40.08	7547.0	332.0	15.9	0.01321637	0.267	0.166	0.909333273	0.999998209	0.013216347	3.471e-06	1.7472e-05	1.9e-08	0.001097695	0.005524862	-69.74765	216	146	1382	440	22	2	0.08796	0.42941	8.21803	1.0	0.70286	1.0	0.6
68	Profiling_(computer_programming)	Computer_programming	1	15.5	273.0	26.1	1553.0	75.0	16.3	0.015290191	15.8	357.0	33.65	2294.0	104.0	16.5	0.014153713	0.827	0.112	0.925672695	1.0	0.014153713	3.117e-06	1.6082e-05	0.0	0.0	0.0	-78.78931	210	115	1410	267	14	0	0.04286	0.50484	7.15173	0.0	0.48214	0.66667	0.33333
69	Graphical_model	Random_variable	1	13.9	195.0	-73.4	883.0	70.0	16.9	0.036077661	13.6	903.0	-385.37	5092.0	184.0	19.2	0.025554605	0.004	0.098	0.511991292	0.722822692	0.018471448	1.774e-06	8.899e-06	1e-08	0.001077586	0.005405405	-69.27439	95	90	757	171	5	1	0.17895	0.35135	10.11099	0.0	0.48677	0.66667	0.33333
70	Algorithm	Logic	1	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008157856	16.1	1002.0	22.04	6809.0	271.0	16.5	0.004670372	0.001	0.046	0.132182919	0.230887227	0.001078329	3.7994e-05	2.8021e-05	1e-08	0.000342231	0.000252398	36.431	3540	422	2529	393	37	1	0.02119	0.51236	5.29247	0.0	0.371	0.66667	0.0
