id	ConceptA	ConceptB_Pre	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil	domain	prerequisite	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi
22	Mitosis	Centrosome	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	15.4	186.0	34.97	1374.0	71.0	15.0	9.5517e-05	0.013839286	0.002346729	0.120905334	0.531719808	5.0788e-05	0	0.33333	0.5	0.0	Meiosis	0	1.0616e-05	2.791e-06	1.9e-08	0.006872852	0.001806685	80.233	866	241	163	128	28	2	0.07275	0.25532	11.02786
23	Chromosomal_crossover	Meiosis	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	0.000762814	0.00231582	0.040443475	0.510301692	9.8491e-05	2	0.45357	1.0	0.0	Meiosis	1	2.513e-06	8.592e-06	1.9e-08	0.002232143	0.007633588	-97.1114	140	122	683	213	20	2	0.53571	0.21206	11.84133
24	Chromosomal_crossover	Chiasma_(genetics)	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	16.0	65.0	32.02	401.0	18.0	17.2	0.003055924	0.001008883	0.002292592	0.288813004	0.230156333	0.00070334	0	0.5	0.66667	0.33333	Meiosis	0	2.513e-06	6.04e-07	1.9e-08	0.031746032	0.007633588	13.49845	140	122	24	39	5	2	0.07143	0.21666	13.76521
25	Chromatid	Homologous_chromosome	14.1	57.0	43.93	377.0	21.0	14.8	0.000106081	14.9	280.0	42.72	2000.0	100.0	15.4	0.003155993	0.000793143	0.002313811	0.861435478	0.028955145	9.1382e-05	1	0.62857	1.0	0.33333	Meiosis	1	1.573e-06	2.503e-06	1e-08	0.003831418	0.006097561	-10.5692	85	79	161	100	9	1	0.18824	0.21151	12.41722
26	Chiasma_(genetics)	Meiosis	16.0	65.0	32.02	401.0	18.0	17.2	0.003055924	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	0.000792049	0.002292592	0.03891148	0.616098438	0.000118911	0	0.35238	0.66667	0.0	Meiosis	1	6.04e-07	8.592e-06	1.9e-08	0.002232143	0.031746032	-110.60985	24	39	683	213	3	2	0.625	0.31349	12.06372
27	Meiosis	Homologous_chromosome	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.9	280.0	42.72	2000.0	100.0	15.4	0.003155993	0.000793143	0.002313811	0.752473224	0.04601773	0.000145232	0	0.35476	0.66667	0.0	Meiosis	1	8.592e-06	2.503e-06	1.9e-08	0.007662835	0.002232143	88.9505	683	213	161	100	22	2	0.0776	0.24873	11.13879
28	Chromosomal_crossover	Chromosome	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	0.000935062	0.00231582	0.372761645	0.44737804	0.000907779	0	0.4772	0.66667	0.27273	Meiosis	1	2.513e-06	2.4291e-05	1.9e-08	0.000789578	0.007633588	-168.3314	140	122	2159	374	13	2	0.40714	0.34889	9.78499
29	Nuclear_membrane	Chromosome	15.6	188.0	34.66	1021.0	52.0	15.8	0.009695535	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	0.002137113	0.002309136	0.098694292	0.471583442	0.000956894	1	0.49303	1.0	0.27273	Meiosis	1	2.349e-06	2.4291e-05	0.0	0.0	0.0	-162.8302	158	87	2159	374	7	0	0.20886	0.40608	8.822
30	Gamete	Chromosomal_crossover	15.0	86.0	44.37	750.0	28.0	16.5	0.0001102	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	0.000812028	0.00231582	0.293334288	0.013273806	3.2325e-05	0	0.375	0.66667	0.14286	Meiosis	0	5.821e-06	2.513e-06	1e-08	0.003816794	0.001647446	93.4154	479	128	140	122	5	1	0.0501	0.28739	10.70933
31	Oogenesis	Mitosis	14.9	148.0	35.17	945.0	49.0	15.8	7.2927e-05	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	0.013839286	0.002346729	0.23693606	0.041134485	1.7279e-05	0	0.25397	0.42857	0.0	Meiosis	0	2.004e-06	1.0616e-05	1e-08	0.000903342	0.004784689	-85.9539	102	107	866	241	6	1	0.27451	0.31972	10.53424
32	Meiosis	Oogenesis	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.9	148.0	35.17	945.0	49.0	15.8	7.2927e-05	0.042582418	0.00235398	0.108413049	0.286919831	2.0924e-05	0	0.31524	0.66667	0.0	Meiosis	0	8.592e-06	2.004e-06	1.9e-08	0.009569378	0.002232143	104.729	683	213	102	107	22	2	0.04539	0.28812	11.02356
33	Meiosis	Chiasma_(genetics)	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	16.0	65.0	32.02	401.0	18.0	17.2	0.003055924	0.000792049	0.002292592	0.616098438	0.03891148	0.000118911	0	0.35238	0.66667	0.0	Meiosis	0	8.592e-06	6.04e-07	1.9e-08	0.031746032	0.002232143	110.60985	683	213	24	39	3	2	0.02196	0.31349	12.06372
34	Meiosis	Centrosome	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	15.4	186.0	34.97	1374.0	71.0	15.0	9.5517e-05	0.042582418	0.00235398	0.086378873	0.17454155	1.6672e-05	0	0.33333	0.5	0.0	Meiosis	1	8.592e-06	2.791e-06	1e-08	0.003436426	0.001116071	99.0081	683	213	163	128	21	1	0.03367	0.33036	9.91662
35	Meiosis	Fungus	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	15.5	1388.0	32.63	8791.0	379.0	17.4	0.00047363	0.03066271	0.002320522	0.090548606	0.036898832	1.7476e-05	1	0.12857	1.0	0.0	Meiosis	0	8.592e-06	0.000370892	1.9e-08	5.1712e-05	0.002232143	-446.5	683	213	37849	827	19	2	0.1552	0.66553	4.26174
36	Meiosis	Homologous_recombination	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	15.6	1110.0	30.91	6316.0	265.0	17.2	0.002815215	0.000784909	0.002328628	0.58997629	0.040447637	0.000113869	0	0.34762	0.71429	0.0	Meiosis	0	8.592e-06	5.504e-06	1.9e-08	0.003484321	0.002232143	91.2114	683	213	322	252	33	2	0.07613	0.26871	10.11131
37	Meiosis	Synaptonemal_complex	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.6	139.0	36.08	693.0	34.0	14.6	0.025106026	0.000789588	0.002307803	0.756847355	0.005818359	0.000146076	1	0.42143	1.0	0.0	Meiosis	0	8.592e-06	6.62e-07	1.9e-08	0.028985507	0.002232143	112.02271	683	213	23	46	5	2	0.01903	0.32411	11.91867
38	Gamete	Meiosis	15.0	86.0	44.37	750.0	28.0	16.5	0.0001102	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	0.020543406	0.00235398	0.254098948	0.145082168	2.8002e-05	0	0.26968	0.66667	0.0	Meiosis	1	5.821e-06	8.592e-06	1.9e-08	0.002232143	0.003294893	-3.696	479	128	683	213	11	2	0.2714	0.18058	10.86028
39	Homologous_chromosome	Centromere	14.9	280.0	42.72	2000.0	100.0	15.4	0.003155993	14.5	270.0	43.93	1545.0	90.0	15.5	0.000122903	0.000921069	0.002313811	0.035317677	0.90691404	0.000111462	1	1.0	1.0	1.0	Meiosis	0	2.503e-06	3.462e-06	1e-08	0.002770083	0.003831418	2.7327	161	100	232	129	10	1	0.08696	0.2732	10.77599
40	Chromatid	Meiosis	14.1	57.0	43.93	377.0	21.0	14.8	0.000106081	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	0.042582418	0.00235398	0.283822983	0.155997057	3.0108e-05	1	0.36714	1.0	0.0	Meiosis	0	1.573e-06	8.592e-06	1.9e-08	0.002232143	0.012195122	-99.5197	85	79	683	213	12	2	0.45882	0.26227	11.6178
41	Chiasma_(genetics)	Chromosomal_crossover	16.0	65.0	32.02	401.0	18.0	17.2	0.003055924	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	0.001008883	0.002292592	0.230156333	0.288813004	0.00070334	0	0.5	0.66667	0.33333	Meiosis	0	6.04e-07	2.513e-06	1.9e-08	0.007633588	0.031746032	-13.49845	24	39	140	122	5	2	0.41667	0.21666	13.76521
42	Homologous_chromosome	Gamete	14.9	280.0	42.72	2000.0	100.0	15.4	0.003155993	15.0	86.0	44.37	750.0	28.0	16.5	0.0001102	0.000844314	0.002313811	0.016640083	0.476551872	5.2516e-05	0	0.41667	0.66667	0.25	Meiosis	0	2.503e-06	5.821e-06	0.0	0.0	0.0	-85.2545	161	100	479	128	4	0	0.14286	0.29544	10.44629
43	Mitosis	Cell_cycle	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	14.6	657.0	41.9	4081.0	191.0	14.8	0.021575462	0.000971817	0.00229819	0.954432757	0.018582386	0.000400924	1	0.43122	1.0	0.0	Meiosis	1	1.0616e-05	9.081e-06	1.9e-08	0.002111932	0.001806685	38.81	866	241	751	196	49	2	0.19169	0.18907	10.22168
44	Chromosomal_crossover	Eukaryote	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	15.4	719.0	34.66	4967.0	234.0	16.0	0.000112812	0.000935062	0.00231582	0.01373063	0.296405092	3.3438e-05	0	0.09722	0.33333	0.0	Meiosis	0	2.513e-06	9.9551e-05	1e-08	9.633e-05	0.003816794	-316.3544	140	122	10000	381	8	1	0.2	0.56429	6.54789
45	Centromere	Chromosome	14.5	270.0	43.93	1545.0	90.0	15.5	0.000122903	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	0.002024633	0.002318505	0.896514091	0.054301757	0.000110184	1	0.64646	1.0	0.27273	Meiosis	0	3.462e-06	2.4291e-05	1.9e-08	0.000789578	0.005540166	-162.9032	232	129	2159	374	44	2	0.50431	0.29412	10.09377
46	Eukaryote	Shale	15.4	719.0	34.66	4967.0	234.0	16.0	0.000112812	13.5	112.0	44.34	681.0	36.0	14.7	0.000256055	0.002450656	0.002366864	0.00937194	0.004129048	1.057e-06	0	0.11111	0.33333	0.0	Meiosis	0	9.9551e-05	2.0848e-05	1e-08	0.000459982	9.633e-05	254.3448	10000	381	2051	123	1	1	0.0008	0.92222	0.86771
47	Meiosis	Figure_of_speech	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	17.7	448.0	31.04	3256.0	105.0	20.5	0.074882042	0.000792069	0.002316491	0.965824544	0.002489377	0.00018641	0	0.06444	0.33333	0.0	Meiosis	0	8.592e-06	4.92e-06	1e-08	0.001949318	0.001116071	89.2962	683	213	249	264	0	1	0.00293	0.59276	5.78179
48	Eukaryote	Cell_wall	15.4	719.0	34.66	4967.0	234.0	16.0	0.000112812	13.5	489.0	52.09	3124.0	162.0	14.6	0.018490179	0.000953767	0.002300834	0.848580221	0.005177323	9.573e-05	0	0.10476	0.42857	0.0	Meiosis	1	9.9551e-05	8.027e-06	1e-08	0.001194743	9.633e-05	245.1368	10000	381	574	263	40	1	0.0082	0.53339	6.06246
49	Mitosis	Yeast	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	13.4	756.0	53.41	4882.0	261.0	13.9	0.001734826	0.002324017	0.002320859	0.377479339	0.091401517	0.000158566	0	0.14957	0.33333	0.0	Meiosis	0	1.0616e-05	1.9649e-05	1e-08	0.000488043	0.000903342	-12.1741	866	241	1589	460	16	1	0.05774	0.40245	7.40926
50	Chromosomal_crossover	Thomas_Hunt_Morgan	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	14.3	627.0	44.14	3439.0	180.0	14.1	0.011467184	0.001008883	0.002294894	0.28218744	0.059927975	0.000687205	0	0.068	0.33333	0.0	Meiosis	1	2.513e-06	5.035e-06	1.9e-08	0.003809524	0.007633588	2.2431	140	122	203	322	10	2	0.16429	0.20906	11.88647
51	Sexual_reproduction	Morphogenesis	14.6	366.0	43.12	2531.0	131.0	15.1	0.013024572	16.2	211.0	25.49	1198.0	63.0	17.2	0.000542549	0.001005581	0.002293578	0.018173998	0.436289337	0.000236709	1	0.35952	1.0	0.0	Meiosis	0	7.835e-06	4.219e-06	0.0	0.0	0.0	101.4379	604	213	319	121	5	0	0.0149	0.43847	7.77164
52	Chromosomal_crossover	Gene_duplication	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	15.9	264.0	33.54	1662.0	79.0	16.7	0.008974734	0.001008883	0.002299511	0.564287404	0.153118431	0.001374197	1	0.60317	1.0	0.42857	Meiosis	0	2.513e-06	3.922e-06	1e-08	0.002444988	0.003816794	-10.5485	140	122	272	137	5	1	0.12857	0.26068	11.11071
53	Synaptonemal_complex	Synapsis	14.6	139.0	36.08	693.0	34.0	14.6	0.025106026	15.9	81.0	27.72	579.0	32.0	16.6	3.0897e-05	7.6412e-05	0.002307803	0.0010132	0.82328907	2.5437e-05	0	0.54762	0.66667	0.42857	Meiosis	0	6.62e-07	7e-07	1.9e-08	0.02739726	0.028985507	-1.02249	23	46	33	40	2	2	0.26087	0.13947	15.17454
54	Homologous_recombination	Tumor_suppressor_gene	15.6	1110.0	30.91	6316.0	265.0	17.2	0.002815215	15.4	134.0	41.6	759.0	35.0	16.2	0.009702525	0.000987467	0.002295882	0.637891073	0.185085885	0.001795801	0	0.33712	0.5	0.0	Meiosis	0	5.504e-06	4.593e-06	1e-08	0.002087683	0.00174216	4.6744	322	252	378	101	8	1	0.04969	0.32996	9.26437
55	Eukaryote	Inner_membrane	15.4	719.0	34.66	4967.0	234.0	16.0	0.000112812	15.6	188.0	34.66	1021.0	52.0	15.8	0.011900362	0.000944522	0.002307138	0.583787942	0.005534118	6.5858e-05	0	0.08333	0.25	0.0	Meiosis	1	9.9551e-05	7.19e-07	0.0	0.0	0.0	330.03208	10000	381	32	43	3	0	0.0008	0.5996	6.86982
56	Homologous_recombination	SCHEMA_(bioinformatics)	15.6	1110.0	30.91	6316.0	265.0	17.2	0.002815215	17.4	15.0	22.24	95.0	5.0	19.9	0.003059821	0.001038106	0.002306805	0.194040476	0.178528606	0.000546266	0	0.39286	0.5	0.25	Meiosis	0	5.504e-06	3.26e-07	1.9e-08	0.058823529	0.003484321	23.23991	322	252	6	28	5	2	0.00621	0.37455	12.24165
57	Mitosis	Cohesin	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	14.2	283.0	42.41	1562.0	80.0	15.5	3.8835e-05	0.011160714	0.002346729	0.049286251	0.533116619	2.0703e-05	1	0.48016	1.0	0.0	Meiosis	0	1.0616e-05	1.765e-06	1.9e-08	0.010869565	0.001806685	91.20775	866	241	56	128	19	2	0.02079	0.34179	10.76188
58	Chiasma_(genetics)	Belgium	16.0	65.0	32.02	401.0	18.0	17.2	0.003055924	13.7	1482.0	43.43	7776.0	356.0	14.3	0.002440218	0.000998441	0.002292592	0.04597808	0.057579079	0.000140506	0	0.06342	0.33333	0.0	Meiosis	0	6.04e-07	0.000500411	1e-08	1.9164e-05	0.015873016	-1008.85685	24	39	51266	916	1	1	0.0	0.0	0.0
59	Fungus	Tinder	15.5	1388.0	32.63	8791.0	379.0	17.4	0.00047363	10.6	75.0	60.75	665.0	35.0	11.7	4.0799e-05	0.03066271	0.002320522	0.002665378	0.030941791	1.262e-06	0	0.06667	0.33333	0.0	Meiosis	0	0.000370892	1.467e-06	1.9e-08	0.013071895	5.1712e-05	556.50075	37849	827	72	81	4	2	0.00021	0.76359	3.77964
60	Meiosis	Spore	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	13.6	178.0	50.97	1314.0	64.0	15.8	0.000365103	0.02014295	0.002346041	0.108372169	0.05728919	2.0916e-05	1	0.27457	1.0	0.0	Meiosis	0	8.592e-06	1.9467e-05	1.9e-08	0.000985222	0.002232143	18.1949	683	213	1837	193	16	2	0.11274	0.35916	8.16544
61	Fungus	Immunosuppression	15.5	1388.0	32.63	8791.0	379.0	17.4	0.00047363	14.5	485.0	29.96	2587.0	159.0	16.7	8.0794e-05	0.03264095	0.002320522	0.012010861	0.070410156	5.689e-06	0	0.10302	0.42857	0.0	Meiosis	0	0.000370892	5.677e-06	1e-08	0.001689189	2.5856e-05	520.164	37849	827	490	102	6	1	0.00122	0.73251	3.53649
62	Meiosis	Amoebozoa	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.8	444.0	37.0	2290.0	131.0	15.9	8.387e-06	0.004120879	0.002347418	0.002779822	0.063969897	5.37e-07	0	0.17778	0.33333	0.0	Meiosis	0	8.592e-06	6.866e-06	1e-08	0.001396648	0.001116071	95.6905	683	213	554	162	11	1	0.0205	0.42997	7.4354
63	Dictyate	Messenger_RNA	14.2	33.0	42.92	257.0	13.0	15.2	1.397e-06	14.4	418.0	43.12	2884.0	145.0	15.2	0.004563297	7.5717e-05	0.002326596	0.570621469	0.000174631	7.97e-07	0	0.36071	0.6	0.0	Meiosis	0	4.89e-07	1.3809e-05	1e-08	0.000694444	0.019607843	-99.44535	14	37	1252	188	4	1	0.28571	0.45177	10.06016
64	Spermatozoon	Somatic_cell	14.2	296.0	43.83	1918.0	98.0	14.7	1.8747e-05	14.7	108.0	44.24	816.0	42.0	13.7	0.01528309	0.000639894	0.002295882	0.830387205	0.001018578	1.5567e-05	0	0.33872	0.55556	0.14286	Meiosis	0	6.291e-06	2.321e-06	1.9e-08	0.008264463	0.00304878	51.8634	447	209	147	95	14	2	0.02685	0.34892	9.73869
65	Fungus	Entomopathogenic_fungus	15.5	1388.0	32.63	8791.0	379.0	17.4	0.00047363	15.7	89.0	34.76	431.0	22.0	17.8	0.000491217	0.036597428	0.002320522	0.999900048	0.964100999	0.000473583	0	0.05	0.25	0.0	Meiosis	0	0.000370892	1.352e-06	2.9e-08	0.021276596	7.7567e-05	555.70326	37849	827	73	68	20	3	0.00106	0.61913	6.08167
66	Mitosis	Motor_protein	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	14.5	225.0	43.02	1143.0	57.0	16.0	0.013674433	0.000933872	0.002288657	0.85445154	0.026247887	0.000358925	0	0.27306	0.66667	0.0	Meiosis	1	1.0616e-05	1.947e-06	1.9e-08	0.009852217	0.001806685	81.9516	866	241	91	112	27	2	0.01848	0.36794	9.89151
67	Meiosis	Bdelloidea	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	15.4	214.0	39.47	1553.0	68.0	17.8	1.673e-06	0.004120879	0.00235398	0.001144632	0.132075472	2.21e-07	0	0.11515	0.33333	0.0	Meiosis	0	8.592e-06	1.784e-06	1e-08	0.005376344	0.001116071	108.80107	683	213	78	108	6	1	0.00878	0.43036	9.04135
