id	ConceptA	ConceptB_Pre	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil	domain	prerequisite	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi
17	Natural_language_processing	Algorithm	15.4	368.0	33.85	2610.0	127.0	16.2	0.065118606	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.000965325	0.002304147	0.701790899	2.439202301	0.045699645	0	0.28935	0.55556	0.0	Computer Science	1	8.976e-06	3.7994e-05	0.0	0.0	0.0	-164.1107	719	217	3540	422	10	0	0.05981	0.50232	6.30441
18	Parallel_algorithm	Algorithm	18.1	89.0	27.76	636.0	24.0	19.4	0.033242934	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001047602	0.002299511	1.011245374	1.794282778	0.033616763	0	0.35397	0.6	0.14286	Computer Science	1	1.486e-06	3.7994e-05	2.9e-08	0.000757193	0.019354839	-197.83384	90	65	3540	422	6	3	0.27778	0.45614	8.52
19	Software_quality_management	Software_engineering	18.3	205.0	19.3	1193.0	42.0	20.5	0.08196112	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000958028	0.002289639	0.937458185	2.307916997	0.076835123	0	0.54762	0.66667	0.42857	Computer Science	1	5.18e-07	1.3924e-05	1e-08	0.000688705	0.018518519	-64.72399	13	41	1260	192	1	1	0.38462	0.43221	10.47981
20	Software_engineering	Data_structure	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.00094811	0.00230249	3.549758692	0.833187508	0.118178489	0	0.38095	0.42857	0.33333	Computer Science	1	1.3924e-05	7.269e-06	0.0	0.0	0.0	1.1984	1260	192	599	159	4	0	0.0254	0.4098	7.63191
21	Distributed_computing	Operating_system	15.3	549.0	35.57	3775.0	192.0	15.4	0.03413999	14.7	1272.0	40.58	8820.0	375.0	15.2	0.086687969	0.001034518	0.002304811	2.168198026	0.853893106	0.074022259	0	0.33333	0.33333	0.33333	Computer Science	1	1.1623e-05	5.283e-05	1e-08	0.000181521	0.000825083	-275.5846	1012	200	5021	488	11	1	0.0998	0.4629	6.53899
22	Programming_language	Algorithm	14.9	689.0	41.8	6037.0	277.0	15.7	0.022707727	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.000996499	0.002304147	1.013443914	1.228311112	0.023013008	0	0.45367	0.66667	0.25	Computer Science	1	2.805e-05	3.7994e-05	1.9e-08	0.000504796	0.000683761	-36.038	2530	395	3540	422	28	2	0.05573	0.42847	6.20263
23	System_programming	Data_structure	15.9	98.0	31.01	605.0	26.0	18.4	0.084701892	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001050609	0.00230249	1.959342145	1.17005886	0.165959988	0	0.54762	0.66667	0.42857	Computer Science	1	1.314e-06	7.269e-06	0.0	0.0	0.0	-58.46539	59	78	599	159	7	0	0.05085	0.46952	8.63344
24	Software_project_management	Software_engineering	15.5	290.0	40.79	1955.0	96.0	17.2	0.073367119	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000957483	0.002308802	0.936472991	2.063750147	0.068706325	0	0.55714	0.71429	0.4	Computer Science	1	1.333e-06	1.3924e-05	1e-08	0.000688705	0.007194245	-63.39662	46	93	1260	192	11	1	0.17391	0.43881	9.33476
25	Computer_architecture	Microarchitecture	14.9	456.0	35.78	2633.0	140.0	14.9	0.02665576	15.1	404.0	41.5	3037.0	162.0	15.9	8.5173e-05	0.000900206	0.002306473	0.393735048	9.999999999	0.010495307	1	0.53869	1.0	0.0	Computer Science	1	6.262e-06	3.481e-06	1.9e-08	0.005509642	0.003062787	22.7059	488	165	228	135	19	2	0.04508	0.31214	9.85334
26	Software_development	Software_engineering	16.4	518.0	24.68	3308.0	177.0	17.9	0.085776608	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000958326	0.002293578	0.920303766	2.371157842	0.078940535	0	0.41071	0.71429	0.14286	Computer Science	1	1.2668e-05	1.3924e-05	1.9e-08	0.00137741	0.001514005	-11.4995	1103	218	1260	192	18	2	0.07162	0.33156	8.05489
27	System_programming	Assembly_language	15.9	98.0	31.01	605.0	26.0	18.4	0.084701892	15.9	906.0	40.79	5841.0	257.0	16.4	0.023621478	0.001053416	0.002299842	0.770070342	2.761318066	0.065226415	0	0.16727	0.5	0.0	Computer Science	1	1.314e-06	1.6408e-05	1e-08	0.000584454	0.00729927	-72.55969	59	78	1385	326	19	1	0.15254	0.44644	9.00914
28	Mobile_application_development	System_programming	14.8	237.0	34.05	1199.0	56.0	16.3	0.105312326	15.9	98.0	31.01	605.0	26.0	18.4	0.084701892	0.00102804	0.002295882	1.327066283	1.649980094	0.139756436	0	0.26389	0.55556	0.0	Computer Science	1	4.795e-06	1.314e-06	0.0	0.0	0.0	-1.17889	258	242	59	78	5	0	0.0	0.0	0.0
29	Social_network_analysis	Algorithm	16.3	511.0	23.05	2953.0	125.0	17.7	0.159098659	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.000996499	0.002291279	0.769381102	6.533456864	0.122407502	0	0.09517	0.42857	0.0	Computer Science	1	4.124e-06	3.7994e-05	1e-08	0.000252398	0.002325581	-194.01861	225	205	3540	422	6	1	0.03556	0.61278	5.55422
30	Algorithm_design	Algorithm	16.7	64.0	32.43	261.0	10.0	17.6	0.057268208	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001047602	0.002302158	0.878881276	2.686450235	0.050331956	1	0.36326	1.0	0.2	Computer Science	1	6.23e-07	3.7994e-05	1e-08	0.000252398	0.015384615	-200.45597	19	46	3540	422	12	1	0.36842	0.50153	8.92743
31	Theory_of_computation	Algorithm	14.4	301.0	19.77	1836.0	106.0	14.3	0.610915933	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.00104172	0.002304147	0.906689837	9.999999999	0.553911268	0	0.47937	0.6	0.33333	Computer Science	1	2.714e-06	3.7994e-05	1.9e-08	0.000504796	0.007067138	-188.7575	159	124	3540	422	26	2	0.21384	0.45148	8.14258
32	Artificial_intelligence	Algorithm	14.9	2049.0	41.8	13361.0	621.0	15.7	0.012433049	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001022051	0.002304147	1.30857079	0.868380092	0.016269525	0	0.27171	0.66667	0.0	Computer Science	1	4.8121e-05	3.7994e-05	1e-08	0.000252398	0.000199283	-53.332	4442	576	3540	422	27	1	0.04187	0.44154	5.79016
33	Database	Algorithm	14.8	1247.0	33.04	7883.0	344.0	15.8	0.013260239	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001022051	0.002290623	1.221711568	0.864679227	0.016200187	0	0.34881	0.42857	0.2	Computer Science	1	4.0919e-05	3.7994e-05	0.0	0.0	0.0	-21.275	3843	424	3540	422	8	0	0.03018	0.48708	5.31796
34	Computer_security	Operating_system	16.0	1606.0	31.51	9711.0	416.0	17.2	0.027616204	14.7	1272.0	40.58	8820.0	375.0	15.2	0.086687969	0.000933589	0.002307138	2.529111811	0.80569968	0.069844469	0	0.34064	0.55556	0.0	Computer Science	1	1.9755e-05	5.283e-05	1e-08	0.000181521	0.000485437	-255.7055	1609	451	5021	488	27	1	0.08701	0.44887	6.34111
35	Parallel_algorithm	Operating_system	18.1	89.0	27.76	636.0	24.0	19.4	0.033242934	14.7	1272.0	40.58	8820.0	375.0	15.2	0.086687969	0.001034518	0.002299511	2.262334785	0.867555751	0.075206646	0	0.33333	0.33333	0.33333	Computer Science	1	1.486e-06	5.283e-05	0.0	0.0	0.0	-320.41984	90	65	5021	488	3	0	0.03333	0.68358	4.95688
36	Computer-aided_software_engineering	Software_engineering	15.1	370.0	36.39	1950.0	117.0	15.4	0.045064656	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000934798	0.002308802	1.135996369	1.537706328	0.051193286	0	0.39286	0.6	0.14286	Computer Science	1	1.995e-06	1.3924e-05	1e-08	0.000688705	0.004807692	-60.05784	118	90	1260	192	3	1	0.14407	0.40666	9.06314
37	Parallel_computing	System_programming	16.1	1033.0	16.93	6453.0	307.0	16.4	0.025860075	15.9	98.0	31.01	605.0	26.0	18.4	0.084701892	0.001052064	0.002310136	2.588125887	0.790172774	0.066929129	0	0.42857	0.42857	0.42857	Computer Science	1	1.169e-05	1.314e-06	0.0	0.0	0.0	39.69909	861	358	59	78	4	0	0.00348	0.50169	8.10998
38	Data_mining	Data_structure	15.0	722.0	32.83	3900.0	178.0	16.6	0.114425435	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001024984	0.00230249	1.762483908	1.421844321	0.201672988	0	0.41429	0.42857	0.4	Computer Science	1	1.1268e-05	7.269e-06	0.0	0.0	0.0	-13.9584	887	288	599	159	11	0	0.02029	0.43483	7.30825
39	Distributed_computing	Algorithm	15.3	549.0	35.57	3775.0	192.0	15.4	0.03413999	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001047602	0.002304147	0.769638337	1.402442537	0.026275445	0	0.35714	0.42857	0.33333	Computer Science	1	1.1623e-05	3.7994e-05	1e-08	0.000252398	0.000825083	-152.9986	1012	200	3540	422	15	1	0.07806	0.45059	6.68878
40	Translator_(computing)	Algorithm	17.3	36.0	22.14	191.0	7.0	20.0	0.011595563	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001047094	0.002303484	1.439232769	0.890754154	0.016688714	0	0.41667	0.5	0.33333	Computer Science	1	9.3e-07	3.7994e-05	0.0	0.0	0.0	-199.54173	30	67	3540	422	5	0	0.06667	0.62546	6.46111
41	Computer_graphics	Data_structure	15.0	1181.0	40.08	7547.0	332.0	15.9	0.020566722	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001050609	0.00230249	5.169821324	0.749626509	0.10632628	0	0.55556	0.55556	0.55556	Computer Science	1	1.7472e-05	7.269e-06	0.0	0.0	0.0	13.1157	1382	440	599	159	5	0	0.02026	0.43501	7.30593
42	Wireless_network	Assembly_language	12.9	536.0	45.46	2675.0	164.0	14.5	0.027026402	15.9	906.0	40.79	5841.0	257.0	16.4	0.023621478	0.000976337	0.002299842	1.044991957	1.195622548	0.028242372	0	0.12121	0.33333	0.0	Computer Science	1	5.907e-06	1.6408e-05	0.0	0.0	0.0	-44.7505	482	134	1385	326	2	0	0.0	0.0	0.0
43	Compiler	Programming_language	15.1	993.0	35.27	5714.0	292.0	15.1	0.024304431	14.9	689.0	41.8	6037.0	277.0	15.7	0.022707727	0.000982071	0.002311805	1.427484603	1.527858803	0.034694201	0	0.3953	0.75	0.11111	Computer Science	1	1.9199e-05	2.805e-05	1.9e-08	0.000683761	0.000999001	-62.715	1710	292	2530	395	47	2	0.23567	0.23212	8.76747
44	Test_automation	Software_engineering	15.7	304.0	31.21	2057.0	88.0	16.8	0.04870654	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000950741	0.00229852	0.933857612	1.366244232	0.045484973	0	0.34167	0.5	0.2	Computer Science	1	3.874e-06	1.3924e-05	0.0	0.0	0.0	-58.70109	284	120	1260	192	8	0	0.03169	0.50895	6.8785
45	Knowledge_management	Artificial_intelligence	16.6	353.0	16.83	2071.0	98.0	18.9	0.066232859	14.9	2049.0	41.8	13361.0	621.0	15.7	0.012433049	0.001010572	0.002292264	0.704594992	3.753491256	0.04666734	0	0.17171	0.45455	0.0	Computer Science	1	6.588e-06	4.8121e-05	0.0	0.0	0.0	-121.8429	493	194	4442	576	9	0	0.0426	0.58467	5.48741
46	Computer_network	Operating_system	14.2	1318.0	43.63	7747.0	383.0	15.0	0.039322811	14.7	1272.0	40.58	8820.0	375.0	15.2	0.086687969	0.001009285	0.002302821	2.046150117	0.928160802	0.080460375	0	0.33333	0.33333	0.33333	Computer Science	1	2.852e-05	5.283e-05	1e-08	0.000181521	0.000336247	-152.013	2537	437	5021	488	20	1	0.1147	0.37875	6.73974
47	Wireless_network	Microarchitecture	12.9	536.0	45.46	2675.0	164.0	14.5	0.027026402	15.1	404.0	41.5	3037.0	162.0	15.9	8.5173e-05	0.000859039	0.002305476	0.501883581	9.999999999	0.013564107	0	0.22917	0.33333	0.0	Computer Science	1	5.907e-06	3.481e-06	0.0	0.0	0.0	18.3514	482	134	228	135	1	0	0.0	0.0	0.0
48	Database	Data_structure	14.8	1247.0	33.04	7883.0	344.0	15.8	0.013260239	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001024984	0.002290623	7.555242843	0.706324205	0.100184324	0	0.54762	0.66667	0.42857	Computer Science	1	4.0919e-05	7.269e-06	1.9e-08	0.002638522	0.000468713	116.1414	3843	424	599	159	11	2	0.01717	0.45345	7.0675
49	Network_service	Computer_network	16.6	90.0	30.09	410.0	17.0	20.2	0.043515908	14.2	1318.0	43.63	7747.0	383.0	15.0	0.039322811	0.00095297	0.002295223	1.239879216	1.372090863	0.05395447	0	0.5873	0.66667	0.42857	Computer Science	1	1.112e-06	2.852e-05	1.9e-08	0.000672495	0.017241379	-167.51691	54	62	2537	437	18	2	0.22222	0.4709	8.6787
50	Object-oriented_analysis_and_design	Software_engineering	15.0	286.0	27.32	1708.0	94.0	15.6	0.550309686	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000935089	0.002308802	0.924439482	9.999999999	0.508728001	0	0.42532	0.66667	0.27273	Computer Science	1	1.765e-06	1.3924e-05	0.0	0.0	0.0	-60.88807	88	96	1260	192	6	0	0.17045	0.4072	9.30578
51	Data_warehouse	Database	14.5	651.0	34.46	3662.0	180.0	15.6	0.113244827	14.8	1247.0	33.04	7883.0	344.0	15.8	0.013260239	0.001027432	0.002290623	0.705900759	6.028519594	0.079939609	0	0.49702	0.66667	0.42857	Computer Science	1	4.45e-06	4.0919e-05	1.9e-08	0.000468713	0.004310345	-159.5794	323	141	3843	424	21	2	0.22291	0.41514	8.08405
52	Data_integration	Database	15.2	399.0	-2.74	2763.0	119.0	16.7	0.12143235	14.8	1247.0	33.04	7883.0	344.0	15.8	0.013260239	0.001012274	0.002290623	0.69972723	6.407842517	0.084969522	0	0.54762	0.66667	0.42857	Computer Science	1	3.117e-06	4.0919e-05	1e-08	0.000234357	0.003076923	-173.97083	195	130	3843	424	19	1	0.18974	0.46038	7.85164
53	Cloud_computing	Computer_network	15.2	995.0	33.14	6370.0	288.0	16.6	0.013983486	14.2	1318.0	43.63	7747.0	383.0	15.0	0.039322811	0.000952602	0.002302821	2.003911302	0.712605837	0.028021665	0	0.32341	0.42857	0.25	Computer Science	1	2.6659e-05	2.852e-05	0.0	0.0	0.0	-92.0693	2541	239	2537	437	12	0	0.03109	0.46157	5.84122
54	Software_metric	Software_engineering	20.5	100.0	9.15	515.0	13.0	26.2	0.027301456	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000957284	0.002308802	1.319295912	1.081903228	0.036018699	0	0.30952	0.66667	0.0	Computer Science	1	1.745e-06	1.3924e-05	1e-08	0.000688705	0.005494505	-60.60972	104	78	1260	192	4	1	0.18269	0.39149	9.40581
55	Game_theory	Theory_of_computation	15.0	1511.0	34.76	8362.0	382.0	15.2	0.042952986	14.4	301.0	19.77	1836.0	106.0	14.3	0.610915933	0.001016312	0.002317833	9.999999999	0.946307394	0.578114265	0	0.47619	0.71429	0.33333	Computer Science	1	1.6983e-05	2.714e-06	0.0	0.0	0.0	66.1024	1291	480	159	124	5	0	0.00775	0.47238	7.8323
56	Information_retrieval	Algorithm	13.9	498.0	38.21	2334.0	128.0	15.2	0.074400964	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001022051	0.002304147	0.713338333	2.832755687	0.05307306	0	0.17163	0.33333	0.0	Computer Science	1	6.339e-06	3.7994e-05	0.0	0.0	0.0	-176.7006	467	194	3540	422	9	0	0.07281	0.50428	6.58818
57	Software_architecture	Software_engineering	16.9	655.0	24.27	3984.0	183.0	19.5	0.028439852	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000956418	0.002301165	1.364278989	1.165442668	0.038799892	1	0.67381	1.0	0.42857	Computer Science	1	4.152e-06	1.3924e-05	1.9e-08	0.00137741	0.004618938	-52.4654	256	177	1260	192	14	2	0.22656	0.3137	9.7163
58	Computer_architecture	Assembly_language	14.9	456.0	35.78	2633.0	140.0	14.9	0.02665576	15.9	906.0	40.79	5841.0	257.0	16.4	0.023621478	0.001053416	0.002299842	0.979597823	1.105431416	0.026111924	0	0.13394	0.4	0.0	Computer Science	1	6.262e-06	1.6408e-05	1.9e-08	0.001168907	0.003062787	-40.396	488	165	1385	326	19	2	0.13934	0.32874	8.87859
59	Software_analytics	Software_engineering	19.0	228.0	9.01	960.0	29.0	23.1	0.022134044	16.5	499.0	25.08	2765.0	132.0	18.1	0.033291978	0.000953215	0.002296211	1.55039049	1.030771152	0.034316411	0	0.54762	0.66667	0.42857	Computer Science	1	7.1e-07	1.3924e-05	1e-08	0.000688705	0.013513514	-65.28604	17	57	1260	192	5	1	0.11765	0.51462	8.77086
60	Artificial_intelligence	Data_structure	14.9	2049.0	41.8	13361.0	621.0	15.7	0.012433049	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001024984	0.00230249	7.955246688	0.697325601	0.098907971	0	0.41995	0.55556	0.11111	Computer Science	1	4.8121e-05	7.269e-06	0.0	0.0	0.0	84.0844	4442	576	599	159	5	0	0.0072	0.55038	5.81413
61	Modeling_language	Object-oriented_programming	16.4	380.0	25.08	2492.0	119.0	17.9	0.032807831	14.4	978.0	42.72	5883.0	321.0	15.9	0.023412961	0.001020564	0.002299181	0.955976732	1.339579513	0.031363523	0	0.31736	0.42857	0.14286	Computer Science	1	2.369e-06	1.9045e-05	1e-08	0.000503525	0.004048583	-80.4083	120	127	1644	342	10	1	0.125	0.44432	8.47454
62	Algorithm	Data_structure	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001047602	0.00230249	5.623235688	0.742772144	0.105354064	0	0.48889	0.66667	0.33333	Computer Science	1	3.7994e-05	7.269e-06	1.9e-08	0.002638522	0.000504796	137.4164	3540	422	599	159	12	2	0.03305	0.38041	8.01195
63	Knowledge_management	Information_retrieval	16.6	353.0	16.83	2071.0	98.0	18.9	0.066232859	13.9	498.0	38.21	2334.0	128.0	15.2	0.074400964	0.001006114	0.002292264	1.428956953	1.272078996	0.094643904	0	0.18888	0.6	0.0	Computer Science	1	6.588e-06	6.339e-06	0.0	0.0	0.0	1.5257	493	194	467	194	4	0	0.04057	0.34789	8.66674
64	Operating_system	System_programming	14.7	1272.0	40.58	8820.0	375.0	15.2	0.086687969	15.9	98.0	31.01	605.0	26.0	18.4	0.084701892	0.001034518	0.002307138	1.502106391	1.537327539	0.130214552	0	0.63492	0.71429	0.55556	Computer Science	1	5.283e-05	1.314e-06	1e-08	0.00729927	0.000181521	318.46779	5021	488	59	78	15	1	0.00319	0.5096	7.98113
65	Object-oriented_design	Data_structure	14.6	145.0	34.36	1258.0	60.0	14.5	0.056040229	14.2	201.0	41.5	1101.0	49.0	15.8	0.141839008	0.001050609	0.00230249	2.499623874	0.98759499	0.140079493	0	0.46429	0.5	0.42857	Computer Science	1	1.16e-06	7.269e-06	0.0	0.0	0.0	-60.06754	57	64	599	159	1	0	0.03509	0.50393	8.09823
66	Analysis_of_algorithms	Algorithm	15.7	705.0	-525.91	3420.0	98.0	20.4	0.611781564	15.1	1354.0	41.4	9529.0	443.0	14.8	0.018735488	0.001047602	0.002301496	0.906778802	9.999999999	0.554750553	0	0.45519	0.75	0.27273	Computer Science	1	3.462e-06	3.7994e-05	1.9e-08	0.000504796	0.005540166	-182.929	251	110	3540	422	24	2	0.33466	0.38046	8.78877
67	Cloud_computing	Operating_system	15.2	995.0	33.14	6370.0	288.0	16.6	0.013983486	14.7	1272.0	40.58	8820.0	375.0	15.2	0.086687969	0.000933589	0.002307138	4.148842182	0.66924252	0.058015275	0	0.44444	0.55556	0.33333	Computer Science	1	2.6659e-05	5.283e-05	1e-08	0.000181521	0.000359712	-244.0823	2541	239	5021	488	17	1	0.06061	0.46347	5.81938
68	Programming_language	Translator_(computing)	14.9	689.0	41.8	6037.0	277.0	15.7	0.022707727	17.3	36.0	22.14	191.0	7.0	20.0	0.011595563	0.000996016	0.002303484	0.742361357	1.453775017	0.016857339	0	0.52381	0.71429	0.33333	Computer Science	1	2.805e-05	9.3e-07	1e-08	0.010309278	0.00034188	163.50373	2530	395	30	67	14	1	0.00356	0.47158	9.11564
